,Pos,School,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Height,Drafted
81,RB,Oregon,215.0,4.66,30.0,13.0,115.0,7.34,4.41,5.92,1
82,WR,Florida State,206.0,4.58,,,117.0,,,6.08,1
83,FB,North Carolina,260.0,4.99,28.0,,104.0,7.88,4.81,5.92,1
84,OLB,Georgia Tech,226.0,4.65,,,,,,6.42,0
85,CB,Florida State,191.0,4.46,,,120.0,,,6.0,1
86,DE,Tennessee,280.0,4.85,,,,,,6.33,1
87,DE,Virginia Tech,260.0,4.73,34.0,24.0,115.0,6.95,4.28,6.33,1
88,ILB,Texas Southern,242.0,4.68,34.5,8.0,,,,6.08,0
89,WR,Air Force,190.0,4.51,33.0,,108.0,6.63,3.94,6.0,0
90,WR,UCLA,217.0,4.58,,,,,,6.25,1
91,QB,BYU,207.0,4.92,31.0,,106.0,7.3,4.45,5.92,0
92,WR,Penn State,196.0,4.43,,,,,,6.08,0
93,DE,Troy,243.0,4.76,34.0,22.0,115.0,7.51,4.56,6.33,0
94,TE,Iowa,249.0,4.72,37.0,14.0,116.0,6.92,4.16,6.33,0
95,DE,Arizona State,271.0,4.75,33.0,24.0,114.0,7.21,4.15,6.33,1
96,RB,Texas A&M-Kingsville,201.0,4.43,34.5,19.0,117.0,6.84,4.36,5.92,0
97,WR,LSU,198.0,4.55,37.0,,121.0,6.88,4.06,5.83,0
98,DE,Utah,280.0,4.78,37.0,32.0,117.0,7.07,4.27,6.33,1
99,TE,Miami (FL),265.0,4.85,,,,,,6.5,1
100,S,Tulsa,199.0,4.55,,14.0,,,,6.08,1
102,S,South Carolina,188.0,4.5,35.5,14.0,124.0,6.91,4.38,6.0,1
103,DE,BYU,281.0,4.73,34.5,31.0,114.0,7.2,4.41,6.33,1
104,FB,Miami (FL),253.0,4.85,27.0,18.0,116.0,7.46,4.52,6.25,1
105,S,Wyoming,186.0,4.56,37.0,21.0,124.0,6.6,3.9,5.75,0
106,TE,Kent State,249.0,4.62,32.5,22.0,113.0,7.15,4.3,6.25,1
107,WR,Miami (OH),199.0,4.56,37.5,,121.0,7.03,4.29,6.25,1
108,OLB,San Diego State,243.0,4.65,34.0,21.0,120.0,6.9,4.28,6.33,1
109,WR,Southern Miss,173.0,4.66,,,,,,5.92,1
110,OLB,Michigan,221.0,4.56,33.0,21.0,115.0,6.97,4.19,6.08,1
111,CB,Tennessee,195.0,4.45,,,,,,5.92,1
112,CB,Duke,188.0,4.62,32.0,16.0,117.0,7.3,4.3,5.92,0
113,S,Tennessee,209.0,4.5,,15.0,,,,6.17,1
114,DT,Ark-Pine Bluff,316.0,5.31,29.5,24.0,98.0,8.0,5.03,6.42,1
115,OT,Texas Tech,338.0,5.85,23.0,20.0,94.0,,,6.33,0
116,CB,BYU,214.0,4.94,33.5,19.0,116.0,7.38,4.24,6.08,0
117,OLB,West Virginia,233.0,4.56,36.0,22.0,120.0,,,6.0,1
118,S,NW State (LA),189.0,4.53,38.5,,118.0,,4.2,6.0,1
119,FB,Houston,253.0,4.78,28.5,25.0,108.0,7.08,4.34,6.0,1
120,DT,Illinois State,307.0,4.87,30.0,27.0,105.0,7.37,4.6,6.17,0
121,DE,Alabama,297.0,4.9,31.0,30.0,111.0,7.63,4.62,6.25,1
122,OLB,Colorado State,253.0,4.97,31.5,20.0,109.0,7.12,4.21,6.25,1
123,WR,Virginia Tech,206.0,4.52,,,,,,6.17,0
124,RB,Texas A&M,191.0,4.44,38.0,18.0,123.0,6.62,3.82,5.67,0
125,DE,Michigan,271.0,5.03,32.0,,111.0,7.86,4.51,6.17,0
126,RB,South Carolina,237.0,4.66,34.5,21.0,118.0,7.48,4.44,6.0,0
127,WR,Jacksonville State,201.0,4.54,36.0,,116.0,7.57,4.41,6.08,0
128,QB,Georgia Tech,192.0,4.81,,,106.0,,,5.83,1
129,RB,Minnesota,197.0,4.5,32.0,17.0,125.0,6.97,4.07,6.0,1
130,FB,Texas A&M,238.0,4.81,30.0,,109.0,7.27,4.36,5.83,0
131,CB,Virginia,186.0,4.34,39.0,16.0,121.0,6.75,4.01,5.75,1
132,CB,Georgia,190.0,4.53,34.5,,114.0,6.73,4.25,6.0,1
133,CB,North Carolina State,190.0,4.5,37.5,16.0,119.0,7.12,4.25,5.83,1
134,WR,USC,204.0,4.5,,,,7.33,4.18,5.92,1
135,OG,Texas A&M,312.0,5.4,29.0,20.0,94.0,7.94,4.63,6.08,0
136,OG,Georgia,297.0,5.23,,,,,,6.33,0
137,WR,Texas A&M,215.0,4.54,34.5,,116.0,7.14,4.21,6.08,0
138,P,Colorado State,234.0,,,,,,,6.17,0
139,DT,Boston Col.,305.0,4.99,30.0,35.0,101.0,6.85,4.16,6.17,1
140,DE,Kansas State,281.0,5.09,29.0,,108.0,7.0,4.32,6.33,1
141,CB,Memphis,190.0,4.55,,,,,,5.92,0
142,CB,Oklahoma State,186.0,4.56,,16.0,,6.98,4.13,5.92,1
143,DE,Texas,254.0,5.1,34.0,21.0,119.0,,,6.25,0
144,QB,Stanford,216.0,5.2,27.5,,99.0,7.17,4.41,6.25,1
145,WR,Nevada,192.0,4.7,,,,,,6.0,0
146,DT,Arizona State,324.0,5.12,,,,,,6.25,1
147,DT,Washington,296.0,5.05,31.5,19.0,105.0,7.69,4.72,6.42,1
148,DT,Cheyney,319.0,5.2,,28.0,,,,6.33,0
149,OG,LSU,304.0,5.2,,19.0,,,,6.25,0
150,WR,Florida,197.0,4.56,,,,,,6.0,1
151,QB,Notre Dame,226.0,4.68,,,109.0,,,6.0,1
153,RB,Saginaw Valley State,242.0,4.6,35.5,24.0,125.0,7.15,4.14,6.08,0
154,OG,Auburn,320.0,5.62,25.5,24.0,94.0,8.51,5.22,6.25,1
155,K,Florida State,260.0,,,,,,,6.08,1
156,RB,Northern Arizona,184.0,4.5,,18.0,118.0,,,5.83,0
157,S,Texas A&M,198.0,4.51,38.0,16.0,123.0,6.91,4.14,6.0,0
158,OG,Colorado,310.0,5.25,29.0,,107.0,7.9,4.66,6.5,0
159,OG,BYU,345.0,5.56,28.0,35.0,99.0,8.07,4.99,6.33,1
160,QB,Florida,226.0,4.95,29.5,,96.0,,,6.17,0
161,DT,Baylor,285.0,4.97,28.0,26.0,105.0,7.51,4.76,6.33,0
162,S,Yale,215.0,4.6,38.0,12.0,121.0,6.96,4.17,6.0,1
163,DT,Florida State,293.0,5.03,28.5,26.0,102.0,,,6.0,1
164,WR,Richmond,191.0,4.66,,,,,,6.0,0
165,OLB,Michigan,240.0,4.68,,29.0,,,,6.08,1
